         94557117 function calls in 55.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47090   16.731    0.000   16.731    0.000 {built-in method nt.write}
 45615016    8.006    0.000    8.006    0.000 {built-in method builtins.round}
 18897810    6.790    0.000   13.209    0.000 \Asciinpy\_2D\definitors.py:14(<lambda>)
  3814290    6.657    0.000    8.006    0.000 \Asciinpy\utils.py:89(__setitem__)
   354365    4.065    0.000   17.355    0.000 \Asciinpy\_2D\definitors.py:225(get_occupancy)
  3767200    2.718    0.000   12.142    0.000 \Asciinpy\screen.py:208(draw)
   141448    1.661    0.000    2.944    0.000 \Asciinpy\_2D\definitors.py:229(transform)
    70635    1.407    0.000    1.407    0.000 {method 'join' of 'str' objects}
    70635    1.081    0.000   16.841    0.000 \Asciinpy\_2D\definitors.py:237(blit)
  7506863    0.881    0.000    0.881    0.000 {function CartesianList.__getitem__ at 0x000001C57C8D1700}
  3770482    0.653    0.000    0.653    0.000 \Asciinpy\_2D\definitors.py:201(<lambda>)
        1    0.608    0.608   55.693   55.693 \colors_and_collisions.py:48(my_loop)
  3773500    0.601    0.000    0.601    0.000 \Asciinpy\_2D\definitors.py:211(<lambda>)
   211908    0.565    0.000   14.770    0.000 \Asciinpy\_2D\definitors.py:39(collides_with)
  3814293    0.468    0.000    0.468    0.000 {built-in method builtins.isinstance}
   354365    0.294    0.000   17.710    0.000 \Asciinpy\_2D\definitors.py:185(occupancy)
    23545    0.261    0.000   19.510    0.001 \Asciinpy\screen.py:179(refresh)
    23547    0.244    0.000    0.244    0.000 \Asciinpy\screen.py:69(<listcomp>)
    70635    0.230    0.000   17.085    0.000 \Asciinpy\screen.py:168(blit)
   141272    0.199    0.000    0.199    0.000 {method 'intersection' of 'set' objects}
    23545    0.184    0.000    0.339    0.000 \Asciinpy\screen.py:156(_infograph)
    70697    0.172    0.000    1.760    0.000 \Asciinpy\_2D\definitors.py:197(x)
    47090    0.146    0.000   16.945    0.000 \Asciinpy\screen.py:267(_puts)
    70751    0.128    0.000    1.484    0.000 \Asciinpy\_2D\definitors.py:207(y)
    70636    0.118    0.000   15.061    0.000 \colors_and_collisions.py:21(manage_collisions)
    23547    0.116    0.000    0.360    0.000 \Asciinpy\screen.py:69(<lambda>)
   377910    0.087    0.000    0.087    0.000 {built-in method from_iterable}
    23545    0.080    0.000    4.557    0.000 \Asciinpy\screen.py:291(_cursor)
    23545    0.062    0.000   17.088    0.001 \Asciinpy\screen.py:300(_update)
   354365    0.061    0.000    0.061    0.000 {method 'values' of 'dict' objects}
   212534    0.055    0.000    0.055    0.000 \Asciinpy\_2D\definitors.py:193(x)
    47090    0.052    0.000    0.052    0.000 {method 'encode' of 'str' objects}
   212083    0.044    0.000    0.044    0.000 {method 'items' of 'dict' objects}
